1,132,-10,1600000000.0
1,424,10,1600000001.0
1,550,10,1600000002.0
1,647,10,1600000003.0
1,1448,10,1600000004.0
1,3156,10,1600000005.0
2,69,-10,1600000006.0
2,80,-10,1600000007.0
2,244,10,1600000008.0
2,438,10,1600000009.0
2,676,10,1600000010.0
2,867,10,1600000011.0
3,370,10,1600000012.0
4,25,10,1600000013.0
4,512,10,1600000014.0
4,897,-10,1600000015.0
4,1768,10,1600000016.0
4,4385,10,1600000017.0
5,212,10,1600000018.0
5,2075,10,1600000019.0
5,4328,10,1600000020.0
6,63,10,1600000021.0
6,403,10,1600000022.0
6,582,10,1600000023.0
6,899,10,1600000024.0
6,2563,10,1600000025.0
7,109,10,1600000026.0
7,344,-10,1600000027.0
7,702,10,1600000028.0
7,1837,-10,1600000029.0
7,2620,10,1600000030.0
7,4349,-10,1600000031.0
7,4388,10,1600000032.0
8,131,10,1600000033.0
8,200,10,1600000034.0
8,268,10,1600000035.0
8,282,10,1600000036.0
8,653,10,1600000037.0
8,4268,10,1600000038.0
9,632,10,1600000039.0
10,79,10,1600000040.0
10,523,10,1600000041.0
10,729,-10,1600000042.0
10,841,10,1600000043.0
10,3274,10,1600000044.0
10,4527,-10,1600000045.0
11,272,10,1600000046.0
11,310,10,1600000047.0
11,444,10,1600000048.0
11,797,10,1600000049.0
11,839,10,1600000050.0
11,995,10,1600000051.0
11,4545,-10,1600000052.0
12,511,10,1600000053.0
12,2745,10,1600000054.0
13,867,10,1600000055.0
13,1277,10,1600000056.0
13,1702,10,1600000057.0
14,652,10,1600000058.0
14,668,-10,1600000059.0
14,778,10,1600000060.0
14,834,-10,1600000061.0
14,859,10,1600000062.0
14,2616,10,1600000063.0
15,248,-10,1600000064.0
15,653,10,1600000065.0
15,741,10,1600000066.0
15,840,10,1600000067.0
15,992,10,1600000068.0
15,4985,10,1600000069.0
16,158,10,1600000070.0
16,3501,-10,1600000071.0
17,1236,-10,1600000072.0
17,1638,10,1600000073.0
17,3664,10,1600000074.0
18,276,10,1600000075.0
18,456,10,1600000076.0
18,482,10,1600000077.0
18,508,10,1600000078.0
18,2246,10,1600000079.0
18,2536,10,1600000080.0
18,3885,10,1600000081.0
18,4053,-10,1600000082.0
19,287,10,1600000083.0
19,861,10,1600000084.0
19,871,10,1600000085.0
19,1551,10,1600000086.0
19,1953,10,1600000087.0
20,68,10,1600000088.0
20,223,10,1600000089.0
20,351,10,1600000090.0
20,469,-10,1600000091.0
20,708,10,1600000092.0
20,953,10,1600000093.0
20,1323,10,1600000094.0
20,2998,10,1600000095.0
20,4288,10,1600000096.0
21,410,10,1600000097.0
21,476,10,1600000098.0
21,742,10,1600000099.0
21,752,10,1600000100.0
21,4229,10,1600000101.0
22,365,10,1600000102.0
22,440,10,1600000103.0
22,642,10,1600000104.0
22,1550,10,1600000105.0
22,1749,10,1600000106.0
23,332,-10,1600000107.0
23,350,10,1600000108.0
23,430,10,1600000109.0
23,871,-10,1600000110.0
23,961,10,1600000111.0
23,2429,10,1600000112.0
23,3491,10,1600000113.0
23,4118,-10,1600000114.0
24,696,10,1600000115.0
24,697,10,1600000116.0
24,957,-10,1600000117.0
25,264,10,1600000118.0
25,272,10,1600000119.0
25,454,10,1600000120.0
25,479,10,1600000121.0
25,2673,-10,1600000122.0
25,4205,10,1600000123.0
26,347,10,1600000124.0
26,487,10,1600000125.0
26,810,-10,1600000126.0
27,115,-10,1600000127.0
27,692,10,1600000128.0
27,837,10,1600000129.0
27,2102,10,1600000130.0
27,4560,-10,1600000131.0
28,101,10,1600000132.0
28,138,10,1600000133.0
28,172,10,1600000134.0
28,296,10,1600000135.0
28,505,10,1600000136.0
28,1116,-10,1600000137.0
29,761,10,1600000138.0
29,778,10,1600000139.0
29,987,10,1600000140.0
30,3727,10,1600000141.0
30,4923,10,1600000142.0
31,706,10,1600000143.0
31,755,10,1600000144.0
31,4206,10,1600000145.0
32,591,-10,1600000146.0
32,836,10,1600000147.0
32,943,-10,1600000148.0
32,987,10,1600000149.0
32,1035,-10,1600000150.0
32,1903,10,1600000151.0
32,2434,10,1600000152.0
32,2645,-10,1600000153.0
33,142,-10,1600000154.0
33,755,-10,1600000155.0
33,939,10,1600000156.0
33,4417,10,1600000157.0
34,228,10,1600000158.0
34,606,10,1600000159.0
34,753,-10,1600000160.0
35,2880,-10,1600000161.0
36,2217,10,1600000162.0
37,62,10,1600000163.0
37,175,-10,1600000164.0
37,432,10,1600000165.0
37,2536,10,1600000166.0
38,616,-10,1600000167.0
38,690,10,1600000168.0
38,1782,10,1600000169.0
38,4032,10,1600000170.0
39,115,-10,1600000171.0
39,789,10,1600000172.0
39,1685,10,1600000173.0
39,1766,10,1600000174.0
39,3385,10,1600000175.0
39,3441,10,1600000176.0
40,322,10,1600000177.0
40,4979,10,1600000178.0
41,400,10,1600000179.0
41,732,10,1600000180.0
41,2460,10,1600000181.0
41,4208,10,1600000182.0
42,87,10,1600000183.0
42,2145,10,1600000184.0
42,3740,10,1600000185.0
42,4314,10,1600000186.0
43,92,10,1600000187.0
43,618,10,1600000188.0
43,803,10,1600000189.0
44,444,-10,1600000190.0
44,795,10,1600000191.0
44,4519,10,1600000192.0
45,169,-10,1600000193.0
45,218,-10,1600000194.0
45,381,10,1600000195.0
45,498,-10,1600000196.0
